Year,Airports,Manhattan
2009,29736.534000000007,2.0607800978999972E7
2010,33786.34000000001,3.2919683199999962E7
2011,27688.460000000006,2.032172816000001E7
2012,14937.309999999998,2.072431025999999E7 
2013,6289.449999999998,3.911079116999989E7
2014,3840.449999999998,1.9218733749999993E7
2015,2953.870000000001,7.137634344000013E7
2016,1780.9400000000003,9183950.119999994
