color,year,trip_length
yellow,2009,4.628144518920051E8
yellow,2010,9.910979353999954E8
yellow,2011,4.9498057714000297E8
yellow,2012,5.1341036053000873E8
yellow,2013,1.4382816661599965E9
yellow,2014,5.2340258961000496E8
yellow,2015,1.919526479649992E9
yellow,2016,6.25469034499994E8
green,2013,3592874.879999957
green,2014,4.7150487850000456E7
green,2015,5.539351035000035E7
green,2016,2.051971648000047E7
